id,undotted,transliterated
29403,אי פוריות ,ai pwriwt
29404,אי פעילות ,ai pyilwt
29405,אי פירעון ,ai pirywn
29406,אי צדק ,ai cdq
29407,אי ציות ,ai ciwt 
29408,אי קיום ,ai qiwm
29409,אי רציפות ,ai rcipwt
29417,אחוזת עולם ,axwzt ywlm
29418,איבת עולם ,aibt ywlm
29422,איסור עולם ,aiswr ywlm
29426,בורא עולם ,bwra ywlm
34061,בן רגע ,bn rgy
29428,בית עולמים ,bit ywlmim
29429,גג העולם ,gg hywlm 
29430,דרך העולם ,drk hywlm
34858,הפלא ופלא ,hpla wpla
29432,העולם העתיק ,hywlm hytiq
34955,חס ושלום ,xs welwm
34959,טעם לשבח ,vym lebx
29438,לעולמי עד ,lywlmi yd
29445,בת קול ,bt qwl
29446,קול קורא ,qwl qwra
29447,קול ענות ,qwl ynwt
29450,משק המים ,meq hmim
29451,משק לשעת חירום ,meq leyt xirwm
29468,ציפור נדירה ,cipwr ndirh
29454,אי הבנה ,ai hbnh
29455,הבנת הנקרא ,hbnt hnqra
29456,אי תלות ,ai tlwt
34063,בנערינו ובזקנינו ,bnyrinw wbzqninw
29459,ארץ האש ,arc hae
29460,ארץ הבחירה ,arc hbxirh
29463,ברוח טובה ,brwx vwbh
35011,צאנה וראינה ,canh wrainh
29470,אוזן קשבת ,awzn qebt
29480,פוטו רצח ,pwvw rcx
29481,רצח אופי ,rcx awpi 
35193,מילי דעלמא ,mili dylma
29483,רצח בעיניים ,rcx byiniim
29489,הר אדם ,hr adm
29491,הר הבית ,hr hbit
29494,עוקר הרים ,ywqr hrim
29511,היפ הופ ,hip hwp
29516,אור לגויים ,awr lgwiim
29517,אור ראשון ,awr raewn
29518,אור קולי ,awr qwli
29519,הוצאה לאור ,hwcah lawr
29521,מהירות האור ,mhirwt hawr
29523,אור אחרון ,awr axrwn
29524,הצלב האדום ,hclb hadwm
29527,הדובה הגדולה ,hdwbh hgdwlh
29528,הדובה הקטנה ,hdwbh hqvnh
29529,כוכב הצפון ,kwkb hcpwn
29643,גוגל מוגל ,gwgl mwgl
29585,בפה מלא ,bph mla
29587,ילדי הפרחים ,ildi hprxim
29589,שער הפרחים ,eyr hprxim
29590,שער האריות ,eyr hariwt
29591,שער האשפתות ,eyr haeptwt
29592,שער ציון ,eyr ciwn
29593,שער שכם ,eyr ekm
29594,שער יפו ,eyr ipw
29595,שער הרחמים ,eyr hrxmim
29596,עיר דוד ,yir dwd
29604,עין הרע ,yin hry
29605,עין רעה ,yin ryh
29642,בר זוהר ,br zwhr
29644,גפילטע פיש ,gpilvy pie
29645,עין חמד ,yin xmd
29646,אמא אדמה ,ama admh
29648,ארץ אבות ,arc abwt
29649,ארץ גזירה ,arc gzirh
29650,ארץ החיים ,arc hxiim
29651,ארץ המגף ,arc hmgp
29656,ארץ עיר ,arc yir
29661,על יבש ,yl ibe
29662,על רטוב ,yl rvwb
29665,כוכב נופל ,kwkb nwpl
29673,דמי לא יחרץ ,dmi la ixrc
29676,הרצליה פיתוח ,hrclih pitwx
29684,גינאה ביסאו ,ginah bisaw 
29685,גינאה המשוונית ,ginah hmewwnit 
29687,דרום אפריקה ,drwm apriqh 
29688,חוף השנהב ,xwp henhb 
29689,כף ורדה ,kp wrdh 
29690,הרפובליקה המרכז אפריקאית ,hrpwbliqh hmrkz apriqait 
29691,סאו טומה ופרינסיפה ,saw vwmh wprinsiph 
29692,סיירה לאון ,siirh lawn
29694,ניו מקסיקו ,niw mqsiqw
29705,גינאה ביסאו ,ginah bisaw 
29706,הרפובליקה הדמוקרטית של קונגו ,hrpwbliqh hdmwqrvit el qwngw
29707,סאו טומה ופרינסיפה ,saw vwmh wprinsiph
29708,הרפובליקה המרכז אפריקאית ,hrpwbliqh hmrkz apriqait 
29709,חוף השנהב ,xwp henhb 
29710,גינאה המשוונית ,ginah hmewwnit
30037,בית שמאי ,bit emai
30040,חד גיסא ,xd gisa
30041,אידך גיסא ,aidk gisa
30042,ביד חזקה ,bid xzqh
30043,בזרוע נטויה ,bzrwy nvwih
30044,בני ישראל ,bni ieral
30046,יד הגורל ,id hgwrl
30047,יד המקרה ,id hmqrh
30048,שיחת היום ,eixt hiwm
30051,בית הלל ,bit hll
30053,בן לילה ,bn lilh
30054,סוף פסוק ,swp pswq
30086,בנק ישראל ,bnq ieral
30108,פה אחד ,ph axd
30132,יישר כוח ,iier kwx
30150,גרון ניחר ,grwn nixr
30275,רב בריח ,rb brix
30274,תכנית ההתנתקות ,tknit hhtntqwt
30276,בר בצק ,br bcq
30529,גלגל המזלות ,glgl hmzlwt
30278,וואשינגטון פוסט ,wwaeingvwn pwsv
30280,כדור הארץ ,kdwr harc
30281,מאחורי הקלעים ,maxwri hqlyim
30282,במידה רבה ,bmidh rbh
30283,קריית שאול ,qriit eawl
30284,קודם לכן ,qwdm lkn
30285,שתי וערב ,eti wyrb
30286,יום הזכרון ,iwm hzkrwn
30287,יום השואה ,iwm hewah
30288,אחת ולתמיד ,axt wltmid
30289,מעל ומעבר ,myl wmybr
30290,עד כה ,yd kh
30291,זה מכבר ,zh mkbr
30292,כיוצא באלה ,kiwca balh
30293,כיוצא בזה ,kiwca bzh
30294,הקיבוץ הארצי ,hqibwc harci
30295,על תנאי ,yl tnai
30296,דין וחשבון ,din wxebwn
30297,על בסיס ,yl bsis
30298,משא ומתן ,mea wmtn
30299,מה גם ,mh gm
30300,ים המלח ,im hmlx
30301,בטרם עת ,bvrm yt
30302,,ap-bi-aii
30303,כל עוד ,kl ywd
30304,ג'רוזלם פוסט ,
30306,גם יחד ,gm ixd
30307,בכל זאת ,bkl zat
30308,ככר המדינה ,kkr hmdinh
30309,קריית טבעון ,qriit vbywn
30310,כל דכפין ,kl dkpin
30311,עד תום ,yd twm
30312,באין מפריע ,bain mpriy
30313,אור לאתמול ,awr latmwl
30314,סן אנטוניו ,sn anvwniw
30315,לוס אנג'לס ,
30316,ניו ג'רזי ,
30317,כלל לא ,kll la
30318,לא מן הנמנע ,la mn hnmny
30319,בשנים עברו ,benim ybrw
30320,פיינל פור ,piinl pwr
30323,בזה אחר זה ,bzh axr zh
30324,שכונת התקווה ,ekwnt htqwwh
34808,קבל עם ועדה ,qbl ym wydh
30326,תור הזהב ,twr hzhb
30327,לא בכדי ,la bkdi
30328,לאו דווקא ,law dwwqa
30329,ללא ספק ,lla spq
30331,האזרח הקטן ,hazrx hqvn
30332,האח הגדול ,hax hgdwl
30333,האותיות הקטנות ,hawtiwt hqvnwt
30334,הגיל הרך ,hgil hrk
30336,פאנטום האופרה ,panvwm hawprh
30338,העולם התחתון ,hywlm htxtwn
30339,אור בקצה המנהרה ,awr bqch hmnhrh
30340,ימי הביניים ,imi hbiniim
30341,יומם ולילה ,iwmm wlilh
36236,יניק וחכים ,iniq wxkim
30343,אביב העמים ,abib hymim
30344,בטל בשישים ,bvl beieim
30345,אברה קדברה ,abrh qdbrh
30346,אד הוק ,ad hwq
30347,תפילת הדרך ,tpilt hdrk
30348,קאנטרי קלאב ,qanvri qlab
30351,על הדרך ,yl hdrk
30550,השכם וערב ,hekm wyrb
30355,טעם של עוד ,vym el ywd
30356,טעם גן עדן ,vym gn ydn
30357,אמצע הדרך ,amcy hdrk
30358,ברכת הדרך ,brkt hdrk
30359,דרך אגב ,drk agb
30360,דרך ארץ ,drk arc
30361,דרך בורמה ,drk bwrmh
30362,דרך הים ,drk him
30363,דרך הבשמים ,drk hbemim
30364,דרך הישר ,drk hier
30365,דרך המלך ,drk hmlk
30366,דרך המשי ,drk hmei
34832,הוקוס פוקוס ,hwqws pwqws
30368,דרכי נועם ,drki nwym
30369,דרכי שלום ,drki elwm
30370,כברת דרך ,kbrt drk
30371,סוף הדרך ,swp hdrk
30372,הטיפה המרה ,hviph hmrh
30373,צעד וחצי ,cyd wxci
30374,דפי זהב ,dpi zhb
30375,עגל הזהב ,ygl hzhb
30376,ארצות המשרק ,arcwt hmerq
30377,הארץ המובטחת ,harc hmwbvxt
30378,ידיעת הארץ ,idiyt harc
30379,מלח הארץ ,mlx harc
35033,עלי אדמות ,yli admwt
30381,עם הספר ,ym hspr
30382,שועי ארץ ,ewyi arc
30383,שירי ארץ ישראל ,eiri arc ieral
30384,משמר העם ,memr hym
30385,חבר העמים ,xbr hymim
30386,מועצת העם ,mwyct hym
30387,מנהלת העם ,mnhlt hym
30388,משפחת העמים ,mepxt hymim
30389,משפט העמים ,mepv hymim
30390,עם ישראל ,ym ieral
30391,עם לועז ,ym lwyz
30392,עם עולם ,ym ywlm
30393,עמי קדם ,ymi qdm
30394,זילות בית המשפט ,zilwt bit hmepv
30395,משפטי נירנברג ,mepvi nirnbrg
30396,אבעבועות רוח ,abybwywt rwx
30397,אורך רוח ,awrk rwx
30398,רוח הקודש ,rwx hqwde
30399,עולם הרוחות ,ywlm hrwxwt
30400,שושנת הרוחות ,ewent hrwxwt
30401,הרוח החיה ,hrwx hxih
30402,רוח חיים ,rwx xiim
30403,אם הדרך ,am hdrk
30404,אם המושבות ,am hmwebwt
30405,אם הקבוצות ,am hqbwcwt
30406,אם כל חי ,am kl xi
30407,אם פונדקאית ,am pwndqait
30408,בסיס האם ,bsis ham
30409,המלכה האם ,hmlkh ham
30410,יום האם ,iwm ham
30411,יום האב ,iwm hab
30412,יום המשפחה ,iwm hmepxh
30413,אנשי החצר ,anei hxcr
34064,בסיעתא דשמיא ,bsiyta demia
30416,אשת איש ,aet aie
30417,דברי טעם ,dbri vym
30418,אוניברסיטה פתוחה ,awnibrsivh ptwxh
30422,ראש השנה ,rae henh
30419,ערב חדש ,yrb xde
30429,טירת כרמל ,virt krml
30430,עמק יזרעאל ,ymq izryal
30449,איי הבהאמה ,aii hbhamh
30462,האיים הקאריביים ,haiim hqaribiim
30463,האי מאן ,hai man
30486,ניו זילנד ,niw zilnd
30502,תל חי ,tl xi
30504,תל מונד ,tl mwnd
30505,תל שבע ,tl eby
30556,כי אם ,ki am
30531,ותו לא ,wtw la
30532,אי פעם ,ai pym
30683,אל אהראם ,al ahram
30699,קמרה אובסקורה ,qmrh awbsqwrh
30701,הנג אובר ,hng awbr
30740,UUUשוק אפור ,nullnullnullewq apwr
35895,בכייה לדורות ,bkiih ldwrwt
30742,כפר סבאי ,kpr sbai
30743,בטן מלאה ,bvn mlah
30744,בטן מתהפכת ,bvn mthpkt
30745,בטן רכה ,bvn rkh
30746,בכי מר ,bki mr
30747,טעות מרה ,vywt mrh
30748,קרב מר ,qrb mr
30749,שמנת מתוקה ,emnt mtwqh
34066,בעגלא ובזמן קריב ,bygla wbzmn qrib
30751,מצה שמורה ,mch emwrh
30752,דג מלוח ,dg mlwx
30753,צעד תימני ,cyd timni
30754,הומור שחור ,hwmwr exwr
35108,לא בשמים ,la bemim
30756,זעזוע מוחי ,zyzwy mwxi
30757,מעי גס ,myi gs
30758,בטחון עצמי ,bvxwn ycmi
30759,גיבור טרגי ,gibwr vrgi
30760,גיטרה אקוסטית ,givrh aqwsvit
30761,גיטרה בס ,givrh bs
30762,גיטרה חשמלית ,givrh xemlit
30763,גיטרה רומנטית ,givrh rwmnvit
30764,בן חורג ,bn xwrg
30766,יד חופשית ,id xwpeit
30767,יד ראשונה ,id raewnh
30768,יד קמוצה ,id qmwch
30769,יד רכה ,id rkh
30770,יד שניה ,id enih
30771,יד שלישית ,id elieit
30772,יד רביעית ,id rbiyit
30773,יד חמישית ,id xmieit
30774,יד שישית ,id eieit
30775,יד שביעית ,id ebiyit
30776,יד שמינית ,id eminit
30777,יש תשיעית ,ie teiyit
30778,יד עשירית ,id yeirit
35775,אמן ואמן ,amn wamn
30781,מזכירה אוטומטית ,mzkirh awvwmvit
34971,יפה שעה אחת קדם ,iph eyh axt qdm
30784,ימים נוראים ,imim nwraim
30785,ימים טרופים ,imim vrwpim
30786,רגל קרושה ,rgl qrweh
34823,דעת לנבון נקל ,dyt lnbwn nql
30788,גז טבעי ,gz vbyi
30789,גז מדמיע ,gz mdmiy
30790,גז משוכלל ,gz mewkll
30791,גז אידיאלי ,gz aidiali
30792,משפט בינלאומי ,mepv binlawmi
30793,שדה אלקטרומגנטי ,edh alqvrwmgnvi
30794,שדה חשמלי ,edh xemli
30795,שדה מגנטי ,edh mgnvi
30796,שדה סמנטי ,edh smnvi
30797,יום חופשי ,iwm xwpei
30798,שיעור חופשי ,eiywr xwpei
30799,סוף שחור ,swp exwr
30800,לילה לבן ,lilh lbn
30801,חגורה שחורה ,xgwrh exwrh
30802,כבשה שחורה ,kbeh exwrh
30803,חופש גדול ,xwpe gdwl
30804,פה גדול ,ph gdwl
30805,אגדה אלקטרונית ,agdh alqvrwnit
30806,אגס סורי ,ags swri
30807,אהבה אפלטונית ,ahbh aplvwnit
30808,אהבה עיוורת ,ahbh yiwwrt
30809,אוטובוס קומותיים ,awvwbws qwmwtiim
30810,אוטובוס דו קומותיים ,awvwbws dw qwmwtiim
30811,מזרח תיכוני ,mzrx tikwni
30812,אגדה אורבנית ,agdh awrbnit
31360,מאו מאו ,maw maw
31362,מאו מצרי ,maw mcri
31363,מון בלאן ,mwn blan
31365,ליטל קיימן ,livl qiimn
31366,קיימן בראק ,qiimn braq
31367,אל קעידה ,al qyidh
31368,הים האגאי ,him hagai
31370,לז אמבסאדר ,lz ambsadr
31371,לז אוליס ,lz awlis
31372,סינג סינג ,sing sing
31373,גרנד קניון ,grnd qniwn
31374,גרנד סנטרל ,grnd snvrl
31375,גרנד אלכסנדר ,grnd alksndr
31376,גראנד קיימן ,grand qiimn
31378,טאו טאו ,vaw vaw
31380,אל מיר ,al mir
31381,סון קובני ,swn qwbni
31382,סילבר סיטי ,silbr sivi
31383,בן סירא ,bn sira
31384,,dar a-slam
31386,כפר כמא ,kpr kma
31387,סנט אטיין ,snv aviin
31388,מחנה בלדד ,mxnh bldd
31389,בית חנינא ,bit xnina
31390,טמפל בר ,vmpl br
31391,אינר טמפל ,ainr vmpl
31392,מידל טמפל ,midl vmpl
31393,סן לורנצו ,sn lwrncw
31397,סנטרל איילנד ,snvrl aiilnd
31398,קוסמודרום בייקונור ,qwsmwdrwm biiqwnwr
31399,קוסמודרום סבובודני ,qwsmwdrwm sbwbwdni
31400,קריית קריניצי ,qriit qrinici
31401,קבוצת שילר ,qbwct eilr
31404,ויקינג מטאל ,wiqing mval
31405,כרטא מרינה ,krva mrinh
31406,מגנה כרטה ,mgnh krvh
31407,אלוני ממרא ,alwni mmra
31410,קשת גלריוס ,qet glriws
31413,עינות תלם ,yinwt tlm
31414,עינות ירדן ,yinwt irdn
31415,עינות זיף ,yinwt zip
31416,עינות שיאון ,yinwt eiawn
31417,הוקס ביי ,hwqs bii
31418,רוז ביי ,rwz bii
31420,דונג הוי ,dwng hwi
31421,הוי אן ,hwi an
31425,ואי נט ,wai nv
31427,סן אוגוסטין ,sn awgwsvin
31428,ביג בן ,big bn
31429,ביג פוט ,big pwv
31431,תעלת למאנש ,tylt lmane
31432,מקוה ישראל ,mqwh ieral
31433,אר דקו ,ar dqw
31434,אר אי אם ,ar ai am
31435,אר דאידרדו ,ar daidrdw
31436,דיפ פרפל ,dip prpl
31437,מוב דיפ ,mwb dip
31438,דיפ פורסט ,dip pwrsv
31439,דיפ דיש ,dip die
31440,פאלון גונג ,palwn gwng
31442,פטריפייד פורסט ,pvripiid pwrsv
31445,קזינו רויאל ,qzinw rwial
31446,פאלה רויאל ,palh rwial
31447,לד זפלין ,ld zplin
31448,יס פלאנט ,is planv
31449,יס מן ,is mn
31452,סנטה קלרה ,snvh qlrh
31454,לנינסקי גורקי ,lninsqi gwrqi
31455,האיים האנטילים ,haiim hanvilim
31456,סאן מיקרוסיסטמס ,san miqrwsisvms
31463,סאטו מארה ,savw marh
31464,וול סטריט ,wwl svriv
31468,פוטס פוינט ,pwvs pwinv
31469,פוינט פייפר ,pwinv piipr
31470,דאווס פוינט ,dawws pwinv
31471,וסט פוינט ,wsv pwinv
31472,סידר פוינט ,sidr pwinv
31473,פוינט פלזנט ,pwinv plznv
31474,מילרס פוינט ,milrs pwinv
31477,תל קסילה ,tl qsilh
31478,שטיין אם ריין ,eviin am riin
31479,שניידר אלקטריק ,eniidr alqvriq
31489,טווין פיקס ,vwwin piqs
31490,ואדי סאליב ,wadi salib
31491,אטול פאלמירה ,avwl palmirh
31492,פיניגנז וייק ,pinignz wiiq
31493,פל קל ,pl ql
31494,קו קלוקס קלאן ,qw qlwqs qlan
31495,אוגוסטה ויקטוריה ,awgwsvh wiqvwrih
31498,רואוד טאון ,rwawd vawn
31499,קוגר טאון ,qwgr vawn
31500,קוקבורן טאון ,qwqbwrn vawn
31501,קמדן טאון ,qmdn vawn
31503,דאון טאון ,dawn vawn
31504,האדרספילד טאון ,hadrspild vawn
31505,לוטון טאון ,lwvwn vawn
31507,סווינדון טאון ,swwindwn vawn
31508,גרימסבי טאון ,grimsbi vawn
31509,סטון טאון ,svwn vawn
31510,סיינט פול ,siinv pwl
31511,סיינט אוגוסטין ,siinv awgwsvin
31512,סיינט פיטרסברג ,siinv pivrsbrg
31513,קינגס קרוס סיינט פנקראס ,qings qrws siinv pnqras
31514,קראטה קיד ,qravh qid
31515,איליה קפיטולינה ,ailih qpivwlinh
31517,אקסון מוביל ,aqswn mwbil
31518,אקסון ואלדז ,aqswn waldz
31519,בוגי ווגי ,bwgi wwgi
31520,טוקי פונה ,vwqi pwnh
31521,לאס וגאס ,las wgas
31522,ישיבה יוניברסיטי ,ieibh iwnibrsivi
31524,דפש מוד ,dpe mwd
31525,טור מלכא ,vwr mlka
31526,סדאקה רעות ,sdaqh rywt
31527,קולורדו ספרינגס ,qwlwrdw springs
31528,הוט ספרינגס ,hwv springs
31529,פאלם ספרינגס ,palm springs
31530,אליס ספרינגס ,alis springs
31531,סנדי ספרינגס ,sndi springs
31532,פלמה דה מיורקה ,plmh dh miwrqh
31533,פלצו דיי פריורי ,plcw dii priwri
31534,שינג אי ,eing ai
31537,אנומה אליש ,anwmh alie
31538,אמנסטי אינטרנשיונל ,amnsvi ainvrneiwnl
31539,מצודת אנטוניה ,mcwdt anvwnih
31540,אקול פוליטכניק ,aqwl pwlivkniq
31541,אקול נורמל סופרייר ,aqwl nwrml swpriir
31542,אקול פראטיק דה אוטז אטיד ,aqwl praviq dh awvz avid
31543,אקול נסיונל סופרייר דה בוזאר ,aqwl nsiwnl swpriir dh bwzar
31544,אקול ביבליק ,aqwl bibliq
31546,גיים בוי ,giim bwi
31547,פול אאוט בוי ,pwl aawv bwi
31548,גשר בייברס ,ger biibrs
31549,סן ברנאר ,sn brnar
31570,גנדאי בודו ,gndai bwdw
31571,דוראן דוראן ,dwran dwran
31572,וושינגטון ויזארדס ,wweingvwn wizards
31573,אנדרטת וושינגטון ,andrvt wweingvwn
31574,וושינגטון נשיונאלס ,wweingvwn neiwnals
31575,וושינגטון מיסטיקס ,wweingvwn misviqs
31576,הופה היי ,hwph hii
31577,האוניברסיטה היגלונית ,hawnibrsivh higlwnit
31578,מאונה לואה ,mawnh lwah
31579,לוקהיד מרטין ,lwqhid mrvin
31580,מהה סרקם ,mhh srqm
31581,סן מרטן ,sn mrvn
31582,סרו פורטניו ,srw pwrvniw
31583,ציר פילדלפי ,cir pildlpi
31586,חאנות קאזאן ,xanwt qazan
31587,ארמיה קריובה ,armih qriwbh
31588,רנדום האוס ,rndwm haws
31589,דיילי שואו ,diili ewaw
31590,אוסטין פאוורס ,awsvin pawwrs
31591,באבי יאר ,babi iar
31592,ביטר למון ,bivr lmwn
31594,אבו דיס ,abw dis
31595,כף הורן ,kp hwrn
31597,ניו וורלד ,niw wwrld
31598,וורלד סיריס ,wwrld siris
31599,סווימינג וורלד ,swwiming wwrld
31600,וורלד אוף וורקראפט ,wwrld awp wwrqrapv
31602,דובאי וורלד ,dwbai wwrld
31603,ניוז אוף דה וורלד ,niwz awp dh wwrld
31604,ואן וורלד ,wan wwrld
31605,דה קרייזי וורלד אוף ארתור בראון ,dh qriizi wwrld awp artwr brawn
31606,רן וסטימפי ,rn wsvimpi
31607,בר חמא ,br xma
31608,עין יעל ,yin iyl
31609,טייט מודרן ,viiv mwdrn
31610,מודרן טוקינג ,mwdrn vwqing
31612,נשיונל ליג ,neiwnl lig
31613,הוט פוט ,hwv pwv
31615,קומדי סנטרל ,qwmdi snvrl
31616,קומדי פראנסז ,qwmdi pransz
31617,קאמל קומדי קלאב ,qaml qwmdi qlab
31618,קומדי סטור ,qwmdi svwr
31619,סקרמנטו קינגס ,sqrmnvw qings
31620,קינגס לאנגלי ,qings langli
31621,קינגס אוף ליאון ,qings awp liawn
31623,קינגס קניון ,qings qniwn
31625,קינגס קרוס ,qings qrws
31627,אבו רודס ,abw rwds
31628,המפטון רודס ,hmpvwn rwds
31630,ברייט אייז ,briiv aiiz
31631,לה גוארדיה ,lh gwardih
31633,קראון הייטס ,qrawn hiivs
31634,דובר הייטס ,dwbr hiivs
31635,סיטי הייטס ,sivi hiivs
31636,מטרו סנטרל הייטס ,mvrw snvrl hiivs
31637,וושינגטון הייטס ,wweingvwn hiivs
31638,ברוקלין הייטס ,brwqlin hiivs
31639,האדסון הייטס ,hadswn hiivs
31640,קרסנט הייטס ,qrsnv hiivs
31641,מורנינגסיד הייטס ,mwrningsid hiivs
31642,לוגן הייטס ,lwgn hiivs
31643,נורמל הייטס ,nwrml hiivs
31644,שרמן הייטס ,ermn hiivs
31645,טאוור רקורדס ,vawwr rqwrds
31646,סיטי טאוור ,sivi vawwr
31647,טאוור האמלטס ,vawwr hamlvs
31648,אייסי טאוור ,aiisi vawwr
31651,תל ליטוינסקי ,tl livwinsqi
31652,בבא מציעא ,bba mciya
31653,ארם נהריים ,arm nhriim
31654,דברי ימי נרניה ,dbri imi nrnih
31655,סיפורי נרניה ,sipwri nrnih
31656,סידנא עלי ,sidna yli
31657,סידנא עומר ,sidna ywmr
31658,מיס סייגון ,mis siigwn
31659,איש פילטדאון ,aie pilvdawn
31660,קאזה באליו ,qazh baliw
31661,קאזה מילה ,qazh milh
31662,קאזה נובה ,qazh nwbh
31663,קאזה רוקה פיקולה ,qazh rwqh piqwlh
31664,קאזה פזארו ,qazh pzarw
31665,קארה קום ,qarh qwm
31666,לוקהיד קונסטליישן ,lwqhid qwnsvliien
31667,קמפו גרנדה ,qmpw grndh
31668,קמפו פורמיו ,qmpw pwrmiw
31669,קמפו מרציו ,qmpw mrciw
31671,קמפו די פיורי ,qmpw di piwri
31672,פיאצה דל קמפו ,piach dl qmpw
31673,קמפו דיי מיראקולי ,qmpw dii miraqwli
31674,אנה קרנינה ,anh qrninh
31675,קרסון סיטי ,qrswn sivi
31676,חורבת קרתא ,xwrbt qrta
31677,ראנו ראראקו ,ranw raraqw
31678,ראנו קאו ,ranw qaw
31679,רמינגטון סטיל ,rmingvwn svil
31680,אהורה מאזדה ,ahwrh mazdh
31681,ג'ין מאו ,
31682,גרנד קיימן؂נ ,grnd qiimnnullnull
31683,לונ ביץ' ,
31684,סנט וינסנט؂נוהגרנדינים ,snv winsnvnullnullwhgrndinim
31685,טאו קלארג'תי ,
31686,,bwrgnulla-slam
31687,סנטרל פארק؂נ ,snvrl parqnullnull
31688,סנטרל פארק וסט؂נ ,snvrl parq wsvnullnull
31689,גרנד סנטרל؂נ ,grnd snvrlnullnull
31690,מינסוטה ויקינגס؂נ ,minswvh wiqingsnullnull
31691,,wiqing ap si.
31692,צ'יאנג מאי؂נ ,
31693,צ'יאנג ראי؂נ ,
31694,סן ז'רמן ,
31695,סטייט؂נבנק אוף אינדיה ,sviivnullnullbnq awp aindih
31696,צ'סאפיק ביי רטריבר ,
31697,ריאל סולט؂נלייק ,rial swlvnullnullliiq
31698,,niagrh awn-dh-liiqnullnull
31699,קו מאז'ינו ,
31700,בניין קרייזלר؂נ ,bniin qriizlrnullnull
31701,איוו ג'ימה ,
31702,וולת'אם פורסט؂נ ,
31703,פורסט לודג'؂נ ,
31704,נוטינגהאם פורסט؂נ ,nwvingham pwrsvnullnull
31705,,nwr-ph dhnullnullqalh
31706,סנטיאגו דה קאלי؂נ ,snviagw dh qalinullnull
31707,קנטקי פרייד צ'יקן ,
31708,נורת' שור ,nwrtnullewr
31709,נורת' אמריקן אוויאיישן ,nwrtnullamriqn awwiaiien
31710,נורת' בונדיי ,nwrtnullbwndii
31711,איי נורת' ,
31712,נורת' ברד'ר ,
31713,נורת' שור סיטי ,nwrtnullewr sivi
31714,מאניק סטריט פריצ'רז ,
31715,ג'יי סטריט ,
31716,צ'ק פוינט ,
31717,פיג'ן פוינט ,
31718,צ'ק פוינט צ'ארלי ,
31719,פאלם ביץ' ,
31720,דלריי ביץ' ,
31721,וירג'יניה ביץ' ,
31722,ביץ' בויז ,bicnullbwiz
31723,אימפריאל ביץ' ,
31724,סיל ביץ' ,
31725,וסט פאלם ביץ' ,
31726,גריניץ' וילג' ,
31727,ג'ונס הופקינס ,
31728,בה גואה ג'אנג ,
31729,ג'ורג' טאון ,
31730,צ'יינה טאון ,
31731,איפסוויץ' טאון ,aipswwicnullvawn
31732,מולן רוז' ,
31733,יוניברסיטי קולג' דבלין ,iwnibrsivi qwlgnulldblin
31734,קריסטל אייג' ,
31735,קווינס אוף דה סטון؂נאייג' ,
31736,בבילון Յ ,bbilwn
31737,ג'בל מוכאבר ,
31738,ג'בל הרון ,
31739,ג'בל מוסא ,
31740,ג'בל חלאל ,
31741,ג'בל מע'רה ,
31742,ג'בל ברקל ,
31743,ג'בל אל תעיר ,
31744,,
31745,ג'בל מונטר ,
31746,ג'בל דרוז ,
31747,ג'בל קאסיון ,
31748,בינת ג'בייל ,
31749,,
31750,ג'בל לבנאן ,
31751,ג'בל אסלאמיה ,
31752,ג'בל ג'ריזים ,
31753,ג'בל עידיד ,
31754,ג'בל עאמל ,
31755,ג'בל עדתיר ,
31756,,
31757,אי צ'ינג ,
31758,דאו דה ג'ינג ,
31759,ג'יט קון דו؂נ ,
31760,המפסטד הית' ,
31761,,nullwwrld
31762,נשיונל ג'יאוגרפיק ,
31763,רד הוט צ'ילי פפרז ,
31764,לוס אנג'לס קינגס ,
31765,קינגס קולג' ,
31766,נורת'רן קינגס ,
31767,בלצ'לי פארק ,
31768,גוג'ו ריו ,
31769,טאוור ברידג' ,
31770,ג'ת'רו טאל ,
31771,שורינג'י קמפו ,
34067,בעדנא דרתחא ,bydna drtxa
34076,בעת ובעונה אחת ,byt wbywnh axt
34078,בוקר לא עבות ,bwqr la ybwt
34835,הכל אתי שפיר ,hkl ati epir
34838,הן צדק ,hn cdq
34866,השכם והערב ,hekm whyrb
34867,השם ישמרנו ,hem iemrnw
35234,מן הסתם ,mn hstm
34871,ואין צריך לומר ,wain crik lwmr
34872,והדברים עתיקים ,whdbrim ytiqim
34945,חברה קדישא ,xbrh qdiea
34950,חי ראשי ,xi raei
34951,חי נפשי ,xi npei
34960,ידיו רב לו ,idiw rb lw
34972,יקום פורקן ,iqwm pwrqn
34974,ישראל סבא ,ieral sba
35005,רעש געש ,rye gye
34999,תורה שבעל פה ,twrh ebyl ph
35001,ששת ימי המעשה ,eet imi hmyeh
35002,ששת ימי בראשית ,eet imi braeit
35003,שלושת ימי הגבלה ,elwet imi hgblh
35016,אחת ליובל ,axt liwbl
35008,ראש השנה לאילנות ,rae henh lailnwt
35026,אש וגופרית ,ae wgwprit
35018,פסוקי דזמרא ,pswqi dzmra
35027,פחות או יותר ,pxwt aw iwtr
35034,על לא חמס ,yl la xms
35029,עסק ביש ,ysq bie
35030,עמק הבכא ,ymq hbka
35031,עמק הבכא ,ymq hbka
35038,על חודה של חרב ,yl xwdh el xrb
35035,על לא דבר ,yl la dbr
35039,על דא ועל הא ,yl da wyl ha
35044,עיר ואם בישראל ,yir wam bieral
35042,על אחת כמה וכמה ,yl axt kmh wkmh
